,Route ID,Difference
867,135,0 days 00:02:20
868,135,0 days 00:02:19
869,135,0 days 00:03:26
870,135,0 days 00:02:33
871,135,0 days 00:03:00
872,135,0 days 00:00:02
873,135,0 days 00:01:07
874,135,0 days 00:01:41
875,135,0 days 00:01:26
876,135,0 days 00:02:24
877,135,0 days 00:02:02
878,135,0 days 00:01:11
879,135,0 days 00:01:53
880,135,0 days 00:02:26
881,135,0 days 00:02:40
882,135,0 days 00:00:00
883,135,0 days 00:01:05
884,135,0 days 00:01:54
885,135,0 days 00:00:47
886,135,0 days 00:00:11
887,135,0 days 00:00:48
888,135,0 days 00:00:22
889,135,0 days 00:00:43
890,135,0 days 00:01:21
891,135,0 days 00:03:45
892,135,0 days 00:03:37
893,135,0 days 00:00:06
894,135,0 days 00:01:54
895,135,0 days 00:02:14
896,135,0 days 00:02:03
897,135,0 days 00:00:51
898,135,0 days 00:02:03
899,135,0 days 00:01:49
900,135,0 days 00:01:51
901,135,0 days 00:03:00
902,135,0 days 00:05:06
903,135,0 days 00:05:15
904,135,-1 days +23:59:59
905,135,0 days 00:00:57
906,135,0 days 00:01:47
907,135,0 days 00:00:57
908,135,0 days 00:01:59
909,135,0 days 00:01:38
910,135,0 days 00:01:32
911,135,0 days 00:02:03
912,135,0 days 00:01:30
913,135,0 days 00:00:13
914,135,0 days 00:00:04
915,135,0 days 00:01:45
916,135,0 days 00:02:20
917,135,0 days 00:02:42
918,135,0 days 00:01:56
919,135,0 days 00:03:01
920,135,0 days 00:02:55
921,135,0 days 00:02:50
922,135,0 days 00:03:41
923,135,0 days 00:00:00
924,135,0 days 00:00:07
925,135,0 days 00:00:33
926,135,0 days 00:00:41
927,135,0 days 00:00:03
928,135,0 days 00:00:55
929,135,0 days 00:00:32
930,135,0 days 00:00:12
931,135,0 days 00:00:40
932,135,0 days 00:02:07
933,135,0 days 00:02:04
934,135,0 days 00:00:06
935,135,0 days 00:01:42
936,135,0 days 00:02:15
937,135,0 days 00:03:37
938,135,0 days 00:02:55
939,135,0 days 00:04:08
940,135,0 days 00:03:55
941,135,0 days 00:04:26
942,135,0 days 00:05:17
943,135,0 days 00:05:33
944,135,0 days 00:05:07
945,10,0 days 00:00:01
946,10,0 days 00:00:00
947,10,0 days 00:00:29
948,10,0 days 00:00:57
949,10,0 days 00:00:10
950,10,0 days 00:00:33
951,10,0 days 00:01:11
952,10,0 days 00:01:59
953,10,0 days 00:00:01
954,10,0 days 00:00:01
955,10,0 days 00:00:33
956,10,0 days 00:01:13
957,10,0 days 00:00:08
958,10,0 days 00:00:27
959,10,0 days 00:01:30
960,10,0 days 00:02:02
961,10,0 days 00:00:05
962,10,0 days 00:00:00
963,10,0 days 00:00:00
964,10,0 days 00:00:04
965,10,0 days 00:00:07
966,10,0 days 00:00:29
967,10,0 days 00:03:02
968,10,0 days 00:03:18
969,10,0 days 00:00:19
970,10,0 days 00:00:01
971,10,0 days 00:00:02
972,10,0 days 00:00:13
973,10,0 days 00:00:12
974,10,0 days 00:00:02
975,10,0 days 00:01:16
976,10,0 days 00:01:17
977,10,0 days 00:00:07
978,10,0 days 00:00:05
979,10,0 days 00:00:18
980,10,0 days 00:00:27
